match;group;is_participating;start;end;content
1;1;yes;118;151;The Place Beyond the Pines (2012)
1;2;yes;336;356;FO-1Y72CU2115N11.mp4
2;1;yes;407;423;Leviathan (2014)
2;2;yes;608;628;FO-25FM3BMFWBH13.mp4
3;1;yes;679;718;The Ardennes - Ohne jeden Ausweg (2015)
3;2;yes;903;923;FO-25J8URPH9BH13.mp4
4;1;yes;974;994;The Nice Guys (2016)
4;2;yes;1179;1199;FO-1YZV529T55N11.mp4
5;1;yes;1250;1304;Love & Other Drugs - Nebenwirkung inklusive (2010)
5;2;yes;1489;1509;FO-25FJNMRANBH13.mp4
6;1;yes;1560;1586;Ein verrücktes Paar (1993)
6;2;yes;1771;1791;FO-2226UJD1SBH11.mp4
7;1;yes;1842;1860;Happy Happy (2010)
7;2;yes;2045;2065;FO-1E8U3SPHW2511.mp4
8;1;yes;2116;2134;Der Mandant (2011)
8;2;yes;2319;2339;FO-1YPY3V2VD5N11.mp4
9;1;yes;2390;2423;Der Gefangene von Alcatraz (1962)
9;2;yes;2608;2628;FO-1MSHBXNND1W11.mp4
10;1;yes;2679;2725;Das unerwartete Glück der Familie Payan (2016)
10;2;yes;2910;2930;FO-1ZFCW5T7W5N11.mp4
11;1;yes;2981;3002;3 Days to Kill (2014)
11;2;yes;3187;3207;FO-2261HZKRHBH11.mp4
12;1;yes;3258;3281;Das Familienfoto (2018)
12;2;yes;3466;3486;FO-25FJPQ9X5BH13.mp4
13;1;yes;3537;3558;Der Informant! (2009)
13;2;yes;3743;3763;FO-225SVY1THBH11.mp4
14;1;yes;3814;3853;The Dressmaker - Die Schneiderin (2015)
14;2;yes;4038;4058;FO-1TPKUE2GH5N11.mp4
15;1;yes;4109;4128;Ewige Jugend (2015)
15;2;yes;4313;4333;FO-25FATYESDBH13.mp4
16;1;yes;4427;4444;Der Klient (1994)
16;2;yes;4629;4649;FO-21QUEHU2NBH11.mp4
17;1;yes;4794;4812;Der Auftrag (2014)
17;2;yes;4997;5017;FO-1SUKFHHS52111.mp4
18;1;yes;5068;5090;Alles muss raus (2010)
18;2;yes;5275;5295;FO-1E7HAE9US2511.mp4
19;1;yes;5346;5362;Zero Hour (2010)
19;2;yes;5547;5567;FO-25J8KHK49BH11.mp4
20;1;yes;5618;5648;Haus aus Sand und Nebel (2003)
20;2;yes;5833;5853;FO-1WREU7NDW5N11.mp4
21;1;yes;5904;5921;Blood Work (2002)
21;2;yes;6106;6126;FO-1TGQGB7J55N11.mp4
22;1;yes;6177;6202;Flammendes Inferno (1974)
22;2;yes;6387;6407;FO-21KQVM1PHBH11.mp4
23;1;yes;6458;6481;Astronaut Farmer (2006)
23;2;yes;6666;6686;FO-1XHJ1J6VH5N11.mp4
24;1;yes;6831;6854;Marley & Ich (2008)
24;2;yes;7039;7059;FO-25J8QAJ3DBH13.mp4
25;1;yes;7110;7121;Cash (2010)
25;2;yes;7306;7326;FO-1E6S73QNH2511.mp4
26;1;yes;7377;7403;Der dritte Frühling (1995)
26;2;yes;7588;7608;FO-225DXT54WBH11.mp4
27;1;yes;7659;7685;Flucht von Alcatraz (1979)
27;2;yes;7870;7890;FO-23SKADBEHBH14.mp4
28;1;yes;7941;7962;Get the Gringo (2012)
28;2;yes;8147;8167;FO-25W6MDKZ5BH13.mp4
29;1;yes;8366;8381;Red Heat (1988)
29;2;yes;8566;8586;FO-25WFXZ2C5BH11.mp4
30;1;yes;8637;8688;Diese 10 Dinge tun wir bevor wir uns trennen (2020)
30;2;yes;8873;8893;FO-25U8SBYYHBH13.mp4
31;1;yes;8944;8974;Lovesong for Bobby Long (2004)
31;2;yes;9159;9179;FO-1M1UWFWGH1W11.mp4
32;1;yes;9230;9269;Prestige – Die Meister der Magie (2006)
32;2;yes;9454;9474;FO-25FJDGR1HBH12.mp4
33;1;yes;9525;9558;"O Brother, Where Art Thou (2000)"
33;2;yes;9743;9763;FO-1UEF2C1NW5N11.mp4
34;1;yes;9814;9854;James Bond 007 Ein Quantum Trost (2008)
34;2;yes;10039;10058;FO-2218RD8RDBH11.mp
35;1;yes;10109;10139;James Bond 007 Skyfall (2012)
35;2;yes;10324;10344;FO-25M5BCBVDBH13.mp4
36;1;yes;10395;10430;Schwimmen 2018 (SWR bis 14.02.2021)
36;2;yes;10626;10641;1342983.xxl.mp4
37;1;yes;10702;10750;A Gschicht über d´Lieb 2019 (SWR bis 14.02.2021)
37;2;yes;10946;10961;1342969.xxl.mp4
